species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Adelie,39.1,18.7,0.181,0,3.75
Adelie,39.5,17.4,0.186,1,3.8
Adelie,40.3,18.0,0.195,1,3.25
Adelie,39.6,17.7,0.186,1,3.5
Adelie,36.7,19.3,0.193,1,3.45
Adelie,39.3,20.6,0.19,0,3.65
Adelie,38.9,17.8,0.181,1,3.625
Adelie,39.2,19.6,0.195,0,4.675
Adelie,41.1,17.6,0.182,1,3.2
Adelie,38.6,21.2,0.191,0,3.8
Adelie,34.6,21.1,0.198,0,4.4
Adelie,36.6,17.8,0.185,1,3.7
Adelie,38.7,19.0,0.195,1,3.45
Adelie,42.5,20.7,0.197,0,4.5
Adelie,34.4,18.4,0.184,1,3.325
Adelie,46.0,21.5,0.194,0,4.2
Adelie,37.8,18.3,0.174,1,3.4
Adelie,37.7,18.7,0.18,0,3.6
Adelie,35.9,19.2,0.189,1,3.8
Adelie,38.2,18.1,0.185,0,3.95
Adelie,38.8,17.2,0.18,0,3.8
Adelie,35.3,18.9,0.187,1,3.8
Adelie,40.6,18.6,0.183,0,3.55
Adelie,40.5,17.9,0.187,1,3.2
Adelie,37.9,18.6,0.172,1,3.15
Adelie,40.5,18.9,0.18,0,3.95
Adelie,39.5,16.7,0.178,1,3.25
Adelie,37.2,18.1,0.178,0,3.9
Adelie,39.5,17.8,0.188,1,3.3
Adelie,40.9,18.9,0.184,0,3.9
Adelie,36.4,17.0,0.195,1,3.325
Adelie,39.2,21.1,0.196,0,4.15
Adelie,38.8,20.0,0.19,0,3.95
Adelie,42.2,18.5,0.18,1,3.55
Adelie,37.6,19.3,0.181,1,3.3
Adelie,39.8,19.1,0.184,0,4.65
Adelie,36.5,18.0,0.182,1,3.15
Adelie,40.8,18.4,0.195,0,3.9
Adelie,36.0,18.5,0.186,1,3.1
Adelie,44.1,19.7,0.196,0,4.4
Adelie,37.0,16.9,0.185,1,3.0
Adelie,39.6,18.8,0.19,0,4.6
Adelie,41.1,19.0,0.182,0,3.425
Adelie,36.0,17.9,0.19,1,3.45
Adelie,42.3,21.2,0.191,0,4.15
Gentoo,46.1,13.2,0.211,1,4.5
Gentoo,50.0,16.3,0.23,0,5.7
Gentoo,48.7,14.1,0.21,1,4.45
Gentoo,50.0,15.2,0.218,0,5.7
Gentoo,47.6,14.5,0.215,0,5.4
Gentoo,46.5,13.5,0.21,1,4.55
Gentoo,45.4,14.6,0.211,1,4.8
Gentoo,46.7,15.3,0.219,0,5.2
Gentoo,43.3,13.4,0.209,1,4.4
Gentoo,46.8,15.4,0.215,0,5.15
Gentoo,40.9,13.7,0.214,1,4.65
Gentoo,49.0,16.1,0.216,0,5.55
Gentoo,45.5,13.7,0.214,1,4.65
Gentoo,48.4,14.6,0.213,0,5.85
Gentoo,45.8,14.6,0.21,1,4.2
Gentoo,49.3,15.7,0.217,0,5.85
Gentoo,42.0,13.5,0.21,1,4.15
Gentoo,49.2,15.2,0.221,0,6.3
Gentoo,46.2,14.5,0.209,1,4.8
Gentoo,48.7,15.1,0.222,0,5.35
Gentoo,50.2,14.3,0.218,0,5.7
Gentoo,45.1,14.5,0.215,1,5.0
Gentoo,46.5,14.5,0.213,1,4.4
Gentoo,46.3,15.8,0.215,0,5.05
Gentoo,42.9,13.1,0.215,1,5.0
Gentoo,46.1,15.1,0.215,0,5.1
Gentoo,47.8,15.0,0.215,0,5.65
Gentoo,48.2,14.3,0.21,1,4.6
Gentoo,50.0,15.3,0.22,0,5.55
Gentoo,47.3,15.3,0.222,0,5.25
Gentoo,42.8,14.2,0.209,1,4.7
Gentoo,45.1,14.5,0.207,1,5.05
Gentoo,59.6,17.0,0.23,0,6.05
Gentoo,49.1,14.8,0.22,1,5.15
Gentoo,48.4,16.3,0.22,0,5.4
Gentoo,42.6,13.7,0.213,1,4.95
Gentoo,44.4,17.3,0.219,0,5.25
Gentoo,44.0,13.6,0.208,1,4.35
Gentoo,48.7,15.7,0.208,0,5.35
Gentoo,42.7,13.7,0.208,1,3.95
Gentoo,49.6,16.0,0.225,0,5.7
Gentoo,45.3,13.7,0.21,1,4.3
Gentoo,49.6,15.0,0.216,0,4.75
Gentoo,50.5,15.9,0.222,0,5.55
Gentoo,43.6,13.9,0.217,1,4.9
Gentoo,45.5,13.9,0.21,1,4.2
Gentoo,50.5,15.9,0.225,0,5.4
Gentoo,44.9,13.3,0.213,1,5.1
Gentoo,45.2,15.8,0.215,0,5.3
Adelie,34.1,18.1,0.193,1,3.475
Adelie,42.0,20.2,0.19,0,4.25
Adelie,37.8,17.1,0.186,1,3.3
Adelie,37.8,17.3,0.18,1,3.7
Adelie,37.5,18.9,0.179,1,2.975
Gentoo,44.5,14.3,0.216,1,4.1
Chinstrap,46.5,17.9,0.192,1,3.5
Chinstrap,50.0,19.5,0.196,0,3.9
Chinstrap,51.3,19.2,0.193,0,3.65
Chinstrap,45.4,18.7,0.188,1,3.525
Chinstrap,52.7,19.8,0.197,0,3.725
Chinstrap,45.2,17.8,0.198,1,3.95
Chinstrap,46.1,18.2,0.178,1,3.25
Chinstrap,51.3,18.2,0.197,0,3.75
Chinstrap,46.0,18.9,0.195,1,4.15
Chinstrap,51.3,19.9,0.198,0,3.7
Chinstrap,46.6,17.8,0.193,1,3.8
Chinstrap,51.7,20.3,0.194,0,3.775
Chinstrap,47.0,17.3,0.185,1,3.7
Chinstrap,52.0,18.1,0.201,0,4.05
Chinstrap,45.9,17.1,0.19,1,3.575
Chinstrap,50.5,19.6,0.201,0,4.05
Chinstrap,50.3,20.0,0.197,0,3.3
Chinstrap,58.0,17.8,0.181,1,3.7
Chinstrap,46.4,18.6,0.19,1,3.45
Chinstrap,49.2,18.2,0.195,0,4.4
Chinstrap,42.4,17.3,0.181,1,3.6
Chinstrap,48.5,17.5,0.191,0,3.4
Chinstrap,43.2,16.6,0.187,1,2.9
Chinstrap,50.6,19.4,0.193,0,3.8
Chinstrap,46.7,17.9,0.195,1,3.3
Chinstrap,52.0,19.0,0.197,0,4.15
Chinstrap,50.5,18.4,0.2,1,3.4
Chinstrap,49.5,19.0,0.2,0,3.8
Chinstrap,46.4,17.8,0.191,1,3.7
Chinstrap,52.8,20.0,0.205,0,4.55
Chinstrap,40.9,16.6,0.187,1,3.2
Chinstrap,54.2,20.8,0.201,0,4.3
Chinstrap,42.5,16.7,0.187,1,3.35
Chinstrap,51.0,18.8,0.203,0,4.1
Chinstrap,49.7,18.6,0.195,0,3.6
Chinstrap,47.5,16.8,0.199,1,3.9
Chinstrap,47.6,18.3,0.195,1,3.85
Chinstrap,52.0,20.7,0.21,0,4.8
Chinstrap,46.9,16.6,0.192,1,2.7
Chinstrap,53.5,19.9,0.205,0,4.5
Chinstrap,49.0,19.5,0.21,0,3.95
Chinstrap,46.2,17.5,0.187,1,3.65
Chinstrap,50.9,19.1,0.196,0,3.55
Chinstrap,45.5,17.0,0.196,1,3.5
Chinstrap,50.9,17.9,0.196,1,3.675
Chinstrap,50.8,18.5,0.201,0,4.45
Chinstrap,50.1,17.9,0.19,1,3.4
Chinstrap,49.0,19.6,0.212,0,4.3
Chinstrap,51.5,18.7,0.187,0,3.25
Chinstrap,49.8,17.3,0.198,1,3.675
